county,lat,lng
ANTRIM,54.7195,-6.2072
ARMAGH,54.35,-6.653
CARLOW,52.8306,-6.9317
CAVAN,53.9908,-7.3606
CLARE,52.9045,-8.9811
CORK,51.9,-8.4731
DERRY,54.9966,-7.3086
DONEGAL,54.6538,-8.1096
DOWN,54.3277,-5.7158
DUBLIN,53.3425,-6.2658
FERMANAGH,54.3438,-7.6319
GALWAY,53.2729,-9.0418
KERRY,52.1545,-9.5669
KILDARE,53.1589,-6.9096
KILKENNY,52.6477,-7.2561
LAOIS,53.0309,-7.3008
LEITRIM,54.1247,-8.002
LIMERICK,52.6653,-8.6238
LONGFORD,53.7333,-7.8
LOUTH,53.7139,-6.3503
MAYO,53.85,-9.3
MEATH,53.6055,-6.6564
MONAGHAN,54.2479,-6.9708
OFFALY,53.2667,-7.5
ROSCOMMON,53.6333,-8.1833
SLIGO,54.2667,-8.4833
TIPPERARY,52.4747,-8.1544
TYRONE,54.7932,-7.541
WATERFORD,52.2585,-7.11
WESTMEATH,53.5345,-7.4653
WEXFORD,52.3342,-6.4575
WICKLOW,52.975,-6.0494
